,Country,GENC,Year,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,Income
0,Albania,AL,2010.0,"27,398","2,989,272",0.3,0.64,109.1,"19,021",1.47,11.9,0.69,78.5,12,5.5,"16,450",-3.4,"-10,000",54.0,15.2,36.6,46.6,32.6,27.2,Europe,UM
1,Argentina,AR,2010.0,"2,736,690","41,358,093",1.05,1.06,15.1,"437,895",2.39,18.3,1.16,76.1,11.9,7.7,"318,281",-0.1,"-5,000",47.1,22.1,36.0,33.8,50.6,43.9,South America,UM
2,Australia,AU,2010.0,"7,682,300","21,839,563",1.5,0.71,2.8,"154,430",1.92,13.6,0.94,81.6,4.1,6.6,"143,473",7.9,"172,050",100.6,60.900000000000006,82.85,106.05,81.8,111.55,Oceania,H
3,Austria,AT,2010.0,"82,445","8,447,901",0.27,0.02,102.5,"1,543",1.44,9.3,0.7,80.7,4,9.1,"77,199",2.5,"21,316",103.9,56.6,82.8,88.7,84.7,93.1,Europe,H
4,Bahrain,BH,2010.0,760,"1,180,087",2.97,1.23,"1,552.70","14,493",1.91,14.9,0.94,78.1,12.5,2.6,"3,052",17.4,"20,570",55.0,73.5,63.2,68.3,68.4,56.0,Asia,H
5,Belarus,BY,2010.0,"202,900","9,680,067",-0.2,-0.3,47.7,"-29,250",1.44,11.2,0.7,70.8,3.8,14.2,"137,300",1.1,"10,305",43.0,27.9,36.3,43.7,44.5,12.8,Europe,UM
6,Belgium,BE,2010.0,"30,278","10,865,721",0.86,0.22,358.9,"23,798",1.85,11.9,0.9,80.1,3.6,9.7,"105,152",6.4,"69,268",120.0,71.1,98.2,109.4,110.9,88.3,Europe,H
7,Bolivia,BO,2010.0,"1,083,301","10,024,103",1.88,1.99,9.3,"199,498",3.25,26.2,1.58,70.3,32.8,6.3,"62,742",-1.2,"-11,540",39.8,19.4,30.7,26.4,37.8,41.7,South America,LM
8,Brazil,BR,2010.0,"8,358,140","197,854,947",0.88,0.88,23.7,"1,731,273",1.75,14.7,0.85,73.5,17.8,5.9,"1,169,025",0,"6,778",79.55000000000001,30.9,57.75,59.2,52.8,60.9,South America,UM
9,Bulgaria,BG,2010.0,"108,489","7,391,080",-0.54,-0.47,68.1,"-34,484",1.53,10.2,0.74,73.2,11.2,14.9,"110,165",-0.7,"-5,427",62.45,21.7,44.25,51.3,52.75,39.45,Europe,UM
10,Canada,CA,2010.0,"9,093,507","34,200,883",1.13,0.39,3.8,"133,087",1.65,11,0.8,82.7,4.9,7.1,"242,607",7.4,"253,564",89.7,49.13333333333333,71.53333333333333,101.36666666666667,63.0,90.43333333333334,North America,H
11,Chile,CL,2010.0,"743,812","16,760,187",0.94,0.9,22.5,"150,728",1.9,14.6,0.93,77.8,7.8,5.6,"94,314",0.4,"6,000",70.7,19.7,47.9,55.4,41.6,51.4,South America,UM
12,China,CN,2010.0,"9,326,410","1,340,788,628",0.53,0.55,143.8,"7,375,970",1.54,12.3,0.71,75.1,13.4,6.8,"9,153,229",-0.2,"-222,000",48.2,32.65,41.25,86.5,38.05,30.45,Asia,UM
13,Colombia,CO,2010.0,"1,038,700","43,821,154",0.63,1.2,42.2,"524,678",2.07,17.2,1.01,75.4,14.8,5.3,"230,756",-5.7,"-248,429",54.26666666666667,13.533333333333331,36.03333333333333,56.43333333333334,35.1,32.833333333333336,South America,UM
14,Croatia,HR,2010.0,"55,974","4,417,475",-0.31,-0.2,78.9,"-8,735",1.44,9.8,0.7,74.7,9.2,11.8,"52,096",-1.1,"-4,875",82.2,33.7,60.5,82.2,63.6,45.2,Europe,H
15,Cyprus,CY,2010.0,"9,241","1,102,726",1.67,0.5,119.3,"5,485",1.45,11.4,0.71,77.7,10.3,6.4,"7,052",11.7,"12,883",75.8,36.5,58.3,80.4,64.1,114.9,Europe,H
16,Denmark,DK,2010.0,"42,434","5,546,980",0.47,0.16,130.7,"9,043",1.88,11.4,0.92,79.2,3.4,9.8,"54,368",3.1,"17,103",138.9,78.6,112.0,116.6,159.1,91.3,Europe,H
17,Finland,FI,2010.0,"303,815","5,354,669",0.45,0.19,17.6,"10,093",1.88,11.4,0.91,79.9,2.4,9.5,"50,887",2.6,"13,731",112.95,56.65,87.8,105.05,111.45,106.05,Europe,H
18,France,FR,2010.0,"640,427","64,971,832",0.57,0.46,101.5,"295,485",2.08,13,1.02,81.5,3.5,8.4,"546,296",1.1,"73,855",122.65,68.9,98.6,97.55,128.10000000000002,70.55000000000001,Europe,H
19,Germany,DE,2010.0,"348,672","81,751,319",-0.04,-0.22,234.5,"-181,963",1.4,8.3,0.68,80.2,3.5,10.5,"859,910",1.9,"151,600",107.03333333333336,37.06666666666666,75.76666666666667,100.06666666666666,82.63333333333334,113.06666666666668,Europe,H
20,Greece,GR,2010.0,"130,647","11,039,844",0.04,0.05,84.5,"5,682",1.5,10.4,0.73,80.2,3.8,9.9,"109,084",-0.1,"-1,579",71.4,32.9,54.2,70.1,73.4,64.5,Europe,H
21,Hungary,HU,2010.0,"89,608","10,000,228",-0.28,-0.42,111.6,"-41,956",1.26,8.9,0.61,74.5,5.2,13,"130,441",1.4,"14,000",65.25,25.3,47.4,58.15,47.15,30.8,Europe,H
22,India,IN,2010.0,"2,973,193","1,220,718,718",1.29,1.33,410.6,"16,245,169",2.51,20.6,1.2,67.2,46.5,7.3,"8,948,144",-0.4,"-517,613",33.0625,10.8375,23.1125,39.075,27.4875,40.825,Asia,LM
