,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
0,Albania,AL,2010,Europe,UM,27398,2989272,0.3,0.64,109.1,19021,1.47,11.9,0.69,78.5,12,5.5,16450,-3.4,-10000,54,15.2,36.6,46.6,32.6,27.2
1,Argentina,AR,2010,South America,UM,2736690,41358093,1.05,1.06,15.1,437895,2.39,18.3,1.16,76.1,11.9,7.7,318281,-0.1,-5000,47.1,22.1,36,33.8,50.6,43.9
2,Australia,AU,2010,Oceania,H,7682300,21839563,1.5,0.71,2.8,154430,1.92,13.6,0.94,81.6,4.1,6.6,143473,7.9,172050,100.6,60.9,82.85,106.05,81.8,111.55
3,Austria,AT,2010,Europe,H,82445,8447901,0.27,0.02,102.5,1543,1.44,9.3,0.7,80.7,4,9.1,77199,2.5,21316,103.9,56.6,82.8,88.7,84.7,93.1
4,Bahrain,BH,2010,Asia,H,760,1180087,2.97,1.23,1552.7,14493,1.91,14.9,0.94,78.1,12.5,2.6,3052,17.4,20570,55,73.5,63.2,68.3,68.4,56
5,Belarus,BY,2010,Europe,UM,202900,9680067,-0.2,-0.3,47.7,-29250,1.44,11.2,0.7,70.8,3.8,14.2,137300,1.1,10305,43,27.9,36.3,43.7,44.5,12.8
6,Belgium,BE,2010,Europe,H,30278,10865721,0.86,0.22,358.9,23798,1.85,11.9,0.9,80.1,3.6,9.7,105152,6.4,69268,120,71.1,98.2,109.4,110.9,88.3
7,Bolivia,BO,2010,South America,LM,1083301,10024103,1.88,1.99,9.3,199498,3.25,26.2,1.58,70.3,32.8,6.3,62742,-1.2,-11540,39.8,19.4,30.7,26.4,37.8,41.7
8,Brazil,BR,2010,South America,UM,8358140,197854947,0.88,0.88,23.7,1731273,1.75,14.7,0.85,73.5,17.8,5.9,1169025,0,6778,79.55,30.9,57.75,59.2,52.8,60.9
9,Bulgaria,BG,2010,Europe,UM,108489,7391080,-0.54,-0.47,68.1,-34484,1.53,10.2,0.74,73.2,11.2,14.9,110165,-0.7,-5427,62.45,21.7,44.25,51.3,52.75,39.45
10,Canada,CA,2010,North America,H,9093507,34200883,1.13,0.39,3.8,133087,1.65,11,0.8,82.7,4.9,7.1,242607,7.4,253564,89.7,49.13,71.53,101.37,63,90.43
11,Chile,CL,2010,South America,UM,743812,16760187,0.94,0.9,22.5,150728,1.9,14.6,0.93,77.8,7.8,5.6,94314,0.4,6000,70.7,19.7,47.9,55.4,41.6,51.4
12,China,CN,2010,Asia,UM,9326410,1340788628,0.53,0.55,143.8,7375970,1.54,12.3,0.71,75.1,13.4,6.8,9153229,-0.2,-222000,48.2,32.65,41.25,86.5,38.05,30.45
13,Colombia,CO,2010,South America,UM,1038700,43821154,0.63,1.2,42.2,524678,2.07,17.2,1.01,75.4,14.8,5.3,230756,-5.7,-248429,54.27,13.53,36.03,56.43,35.1,32.83
14,Croatia,HR,2010,Europe,H,55974,4417475,-0.31,-0.2,78.9,-8735,1.44,9.8,0.7,74.7,9.2,11.8,52096,-1.1,-4875,82.2,33.7,60.5,82.2,63.6,45.2
15,Cyprus,CY,2010,Europe,H,9241,1102726,1.67,0.5,119.3,5485,1.45,11.4,0.71,77.7,10.3,6.4,7052,11.7,12883,75.8,36.5,58.3,80.4,64.1,114.9
16,Denmark,DK,2010,Europe,H,42434,5546980,0.47,0.16,130.7,9043,1.88,11.4,0.92,79.2,3.4,9.8,54368,3.1,17103,138.9,78.6,112,116.6,159.1,91.3
17,Finland,FI,2010,Europe,H,303815,5354669,0.45,0.19,17.6,10093,1.88,11.4,0.91,79.9,2.4,9.5,50887,2.6,13731,112.95,56.65,87.8,105.05,111.45,106.05
18,France,FR,2010,Europe,H,640427,64971832,0.57,0.46,101.5,295485,2.08,13,1.02,81.5,3.5,8.4,546296,1.1,73855,122.65,68.9,98.6,97.55,128.1,70.55
19,Germany,DE,2010,Europe,H,348672,81751319,-0.04,-0.22,234.5,-181963,1.4,8.3,0.68,80.2,3.5,10.5,859910,1.9,151600,107.03,37.07,75.77,100.07,82.63,113.07
