Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,year,Continent
Albania,54.0,15.2,36.6,46.6,32.6,27.2,2010,Europe
Argentina,47.1,22.1,36.0,33.8,50.6,43.9,2010,South America
Australia,100.6,60.900000000000006,82.85,106.05,81.8,111.55,2010,Oceania
Austria,103.9,56.6,82.8,88.7,84.7,93.1,2010,Europe
Bahrain,55.0,73.5,63.2,68.3,68.4,56.0,2010,Asia
Belarus,43.0,27.9,36.3,43.7,44.5,12.8,2010,Europe
Belgium,120.0,71.1,98.2,109.4,110.9,88.3,2010,Europe
Bolivia,39.8,19.4,30.7,26.4,37.8,41.7,2010,South America
Bosnia And Herzegovina,49.0,11.3,32.1,58.0,37.1,33.6,2010,
Brazil,79.55000000000001,30.900000000000002,57.75,59.2,52.8,60.9,2010,South America
Bulgaria,62.45,21.7,44.25,51.3,52.75,39.45,2010,Europe
Canada,89.7,49.13333333333333,71.53333333333333,101.36666666666667,63.0,90.43333333333334,2010,North America
Chile,70.7,19.7,47.9,55.4,41.6,51.4,2010,South America
China,48.2,32.65,41.25,86.5,38.05,30.45,2010,Asia
Colombia,54.26666666666667,13.533333333333331,36.03333333333333,56.43333333333334,35.1,32.833333333333336,2010,South America
Croatia,82.2,33.7,60.5,82.2,63.6,45.2,2010,Europe
Cyprus,75.8,36.5,58.3,80.4,64.1,114.9,2010,Europe
Czech Republic,72.1,41.6,58.5,62.9,58.4,54.4,2010,
Denmark,138.9,78.6,112.0,116.6,159.1,91.3,2010,Europe
Finland,112.95,56.65,87.8,105.05000000000001,111.44999999999999,106.05000000000001,2010,Europe
France,122.65,68.9,98.6,97.55,128.10000000000002,70.55000000000001,2010,Europe
Germany,107.03333333333335,37.06666666666666,75.76666666666667,100.06666666666666,82.63333333333334,113.06666666666668,2010,Europe
Greece,71.4,32.9,54.2,70.1,73.4,64.5,2010,Europe
Hong Kong (China),68.0,59.6,64.3,93.3,60.3,51.3,2010,
Hungary,65.25,25.3,47.4,58.15,47.15,30.8,2010,Europe
India,33.0625,10.8375,23.1125,39.075,27.4875,40.824999999999996,2010,Asia
Indonesia,40.8,21.2,32.0,49.7,36.7,24.9,2010,Asia
Iran,61.05,54.75,58.25,56.599999999999994,28.05,34.6,2010,Asia
Ireland,120.8,71.4,98.7,148.0,118.1,98.7,2010,Europe
Israel,94.0,55.4,76.8,104.2,68.4,51.9,2010,Asia
Italy,122.6,82.4,104.6,96.9,117.9,49.2,2010,Europe
Japan,89.3,61.8,77.0,96.4,79.6,107.9,2010,Asia
Jordan,65.6,26.4,48.1,88.2,65.2,22.1,2010,Asia
Latvia,68.2,31.8,51.9,37.4,50.9,38.3,2010,Europe
Lithuania,50.1,28.7,40.5,57.4,36.3,43.3,2010,Europe
Malaysia,37.5,13.9,27.0,51.0,31.4,61.7,2010,Asia
Mexico,50.099999999999994,23.9,38.45,49.3,44.85,46.75,2010,North America
Montenegro,61.1,11.8,39.1,53.8,59.2,29.7,2010,Europe
Netherlands,125.5,64.9,98.4,81.85,122.35,83.4,2010,Europe
Norway,161.05,87.0,127.94999999999999,161.65,181.45,64.0,2010,Europe
Paraguay,53.6,11.2,34.7,40.5,31.9,19.5,2010,South America
Poland,56.86666666666667,31.166666666666668,45.36666666666667,44.13333333333333,50.1,49.23333333333333,2010,Europe
Portugal,85.4,31.5,61.3,48.9,67.7,51.2,2010,Europe
Romania,45.63333333333333,21.333333333333332,34.800000000000004,41.76666666666667,39.43333333333333,28.866666666666664,2010,Europe
Russia,54.8,47.2,51.4,36.5,60.7,37.65,2010,Europe
Serbia,63.25,25.9,46.55,50.1,60.849999999999994,35.15,2010,Europe
Singapore,65.9,71.8,68.6,100.3,56.4,76.8,2010,Asia
Slovenia,76.0,45.1,62.2,63.7,62.5,54.4,2010,Europe
South Africa,61.1,39.8,51.6,52.0,43.2,52.0,2010,Africa
South Korea,88.6,42.1,67.8,124.0,79.4,85.2,2010,Asia
Spain,92.1375,49.8625,73.25,69.025,83.0875,51.8875,2010,Europe
Sweden,111.0,27.1,73.5,94.8,87.9,105.8,2010,Europe
Switzerland,127.35,102.0,116.05000000000001,132.65,134.5,124.89999999999999,2010,Europe
Thailand,36.6,21.6,29.9,51.3,28.2,30.8,2010,Asia
Turkey,56.35,26.1,42.85,54.9,41.099999999999994,67.0,2010,Asia
Ukraine,34.43333333333333,22.53333333333333,29.099999999999998,23.46666666666667,45.0,34.9,2010,Europe
United Arab Emirates,78.65,104.15,90.05,64.9,108.6,72.75,2010,Asia
United Kingdom,109.39999999999999,81.03333333333333,96.7,99.0,98.16666666666667,80.53333333333335,2010,Europe
United States,95.59166666666665,55.60833333333333,77.72500000000001,95.47500000000001,79.64999999999999,107.65833333333335,2010,North America
Venezuela,43.9,46.9,45.3,26.9,63.3,46.6,2010,South America
Argentina,56.8,19.5,43.4,51.3,44.3,49.1,2011,South America
Armenia,58.7,25.9,46.9,27.6,47.4,17.4,2011,Asia
Australia,113.18333333333334,54.31666666666666,92.05,112.10000000000001,95.76666666666667,113.35000000000001,2011,Oceania
Austria,105.9,47.2,84.8,90.7,81.2,97.1,2011,Europe
Azerbaijan,67.3,59.5,64.5,47.0,57.8,33.0,2011,Asia
Belarus,50.6,19.1,39.3,40.5,58.4,20.6,2011,Europe
Belgium,110.9,40.900000000000006,85.7,86.44999999999999,115.25,82.6,2011,Europe
Bolivia,39.0,16.6,31.0,25.9,28.0,58.9,2011,South America
Bosnia And Herzegovina,55.099999999999994,11.3,39.35,49.05,40.2,42.55,2011,
Brazil,77.0375,28.625,59.6625,49.3875,53.575,55.7625,2011,South America
Bulgaria,56.7,20.8,43.8,47.8,38.6,36.2,2011,Europe
Canada,93.39230769230768,42.361538461538466,75.05384615384615,99.38461538461539,72.54615384615384,106.53076923076924,2011,North America
Chile,64.7,18.1,48.0,52.5,59.1,57.5,2011,South America
China,47.03333333333333,22.0,38.06666666666667,50.93333333333334,30.099999999999998,33.166666666666664,2011,Asia
Colombia,56.45,15.65,41.8,46.7,36.0,30.5,2011,South America
Costa Rica,76.4,24.4,57.7,84.6,66.8,37.5,2011,North America
Croatia,68.55,19.65,51.0,64.35,46.45,41.8,2011,Europe
Cyprus,87.2,30.2,66.7,76.8,90.8,92.1,2011,Europe
Czech Republic,62.55,30.45,51.05,49.35,44.65,59.9,2011,
Denmark,114.7,67.2,97.65,96.95,127.3,88.4,2011,Europe
Dominican Republic,64.1,26.7,50.7,57.5,47.7,34.7,2011,North America
Ecuador,55.0,19.3,42.2,56.7,39.3,38.5,2011,South America
Egypt,51.3,21.3,40.5,46.1,37.9,13.3,2011,Africa
